OrderID,OrderDate,CustomerID,CustomerName,ProductID,ProductName,Category,Brand,Quantity,UnitPrice,TotalCost,Discount,TotalSales,Tax,ShippingCost,TotalExpenses,TotalProfit,PaymentMethod,OrderStatus,City,State_Name,Country,SellerID
ORD0000001,31-01-2023,CUST001504,Vihaan Sharma,P00014,Drone Mini,Books,BrightLux,3,106.59,319.77,0%,319.77,0.00,0.09,0.09,319.68,Debit Card,Delivered,Washington,District of Columbia,India,SELL01967
ORD0000002,30-12-2023,CUST000178,Pooja Kumar,P00040,Microphone,Home & Kitchen,UrbanStyle,1,251.37,251.37,5%,238.80,19.10,1.74,20.84,217.96,Amazon Pay,Delivered,Fort Worth,Texas,United States,SELL01298
ORD0000003,10-05-2022,CUST047516,Sneha Singh,P00044,Power Bank 20000mAh,Clothing,UrbanStyle,3,35.03,105.09,10%,94.58,7.57,5.91,13.48,81.10,Debit Card,Delivered,Austin,Texas,United States,SELL00908
ORD0000004,18-07-2023,CUST030059,Vihaan Reddy,P00041,Webcam Full HD,Home & Kitchen,Zenith,5,33.58,167.90,15%,142.72,11.42,5.53,16.95,125.77,Cash on Delivery,Delivered,Charlotte,North Carolina,India,SELL01164
ORD0000005,04-02-2023,CUST048677,Aditya Kapoor,P00029,T-Shirt,Clothing,KiddoFun,2,515.64,1031.28,25%,773.46,38.67,9.23,47.90,725.56,Credit Card,Cancelled,San Antonio,Texas,Canada,SELL01411
ORD0000006,31-12-2022,CUST042705,Karan Sharma,P00023,Cookware Set,Books,ReadMore,4,449.73,1798.92,0%,1798.92,215.87,2.74,218.61,1580.31,UPI,Delivered,Los Angeles,California,United States,SELL01494
ORD0000007,20-09-2024,CUST037667,Aarav Verma,P00030,Dress Shirt,Clothing,UrbanStyle,2,219.81,439.62,20%,351.70,28.14,14.97,43.11,308.59,UPI,Delivered,Chicago,Illinois,Australia,SELL01676
ORD0000008,10-11-2022,CUST031165,Rohit Kumar,P00028,Jeans,Toys & Games,KiddoFun,2,306.51,613.02,5%,582.37,29.12,6.24,35.36,547.01,Debit Card,Pending,Denver,Colorado,India,SELL00510
ORD0000009,26-06-2024,CUST026965,Aman Kapoor,P00031,Kids Toy Car,Sports & Outdoors,Apex,4,146.09,584.36,0%,584.36,46.75,7.03,53.78,530.58,Debit Card,Delivered,Washington,District of Columbia,United States,SELL01895
ORD0000010,01-05-2020,CUST029472,Aarav Reddy,P00001,Wireless Earbuds,Clothing,Apex,2,278.21,556.42,10%,500.78,60.09,4.88,64.97,435.81,Credit Card,Delivered,Houston,Texas,United States,SELL01584
ORD0000011,11-04-2021,CUST005346,Rohit Reddy,P00046,Car Charger,Books,HomeEase,1,141.42,141.42,5%,134.35,6.72,9.70,16.42,117.93,Amazon Pay,Delivered,Jacksonville,Florida,Australia,SELL01217
ORD0000012,23-05-2023,CUST046088,Karan Kumar,P00042,Projector Mini,Home & Kitchen,KiddoFun,5,346.56,1732.80,5%,1646.16,131.69,13.38,145.07,1501.09,Credit Card,Shipped,Charlotte,North Carolina,Australia,SELL01160
ORD0000013,26-11-2020,CUST026576,Simran Kapoor,P00018,Vacuum Cleaner,Home & Kitchen,Zenith,4,496.76,1987.04,5%,1887.69,94.38,4.43,98.81,1788.88,UPI,Delivered,New York,New York,United States,SELL00719
ORD0000014,22-01-2024,CUST006051,Pooja Sharma,P00040,Microphone,Home & Kitchen,Apex,3,523.27,1569.81,0%,1569.81,188.38,8.04,196.42,1373.39,Debit Card,Shipped,Seattle,Washington,United States,SELL00672
ORD0000015,28-03-2020,CUST025111,Mohit Mehta,P00035,Desk Plant,Books,HomeEase,4,291.37,1165.48,10%,1048.93,52.45,1.76,54.21,994.72,Net Banking,Delivered,Indianapolis,Indiana,United States,SELL01541
ORD0000016,28-10-2023,CUST040957,Anjali Gupta,P00028,Jeans,Sports & Outdoors,HomeEase,4,533.12,2132.48,25%,1599.36,79.97,2.58,82.55,1516.81,Amazon Pay,Delivered,Jacksonville,Florida,United States,SELL00437
ORD0000017,28-01-2023,CUST000735,Arjun Kumar,P00025,Running Shoes,Home & Kitchen,Zenith,4,453.47,1813.88,10%,1632.49,0.00,4.39,4.39,1628.10,Amazon Pay,Delivered,Philadelphia,Pennsylvania,United States,SELL01971
ORD0000018,21-05-2022,CUST038237,Anjali Verma,P00039,Graphic Tablet,Toys & Games,KiddoFun,5,547.58,2737.90,0%,2737.90,0.00,10.06,10.06,2727.84,Amazon Pay,Delivered,Seattle,Washington,United States,SELL00132
ORD0000019,14-08-2024,CUST040211,Aditya Mehta,P00033,Puzzle 1000pc,Electronics,ReadMore,5,529.19,2645.95,0%,2645.95,317.51,4.57,322.08,2323.87,Amazon Pay,Returned,Phoenix,Arizona,United States,SELL01907
ORD0000020,10-05-2020,CUST046893,Vihaan Patel,P00040,Microphone,Sports & Outdoors,HomeEase,3,303.53,910.59,0%,910.59,72.85,4.18,77.03,833.56,UPI,Delivered,San Diego,California,United States,SELL00881
ORD0000021,12-08-2024,CUST041508,Vikas Kapoor,P00028,Jeans,Toys & Games,Apex,1,226.26,226.26,0%,226.26,11.31,9.55,20.86,205.40,Credit Card,Delivered,Fort Worth,Texas,United States,SELL01947
ORD0000022,25-08-2023,CUST048817,Pooja Sharma,P00010,Smartwatch,Books,ReadMore,4,493.47,1973.88,0%,1973.88,98.69,11.80,110.49,1863.39,Credit Card,Delivered,Chicago,Illinois,Australia,SELL01672
ORD0000023,08-02-2022,CUST048828,Simran Reddy,P00003,Smartphone Case,Toys & Games,Apex,5,452.12,2260.60,0%,2260.60,113.03,9.62,122.65,2137.95,Debit Card,Delivered,Phoenix,Arizona,Canada,SELL01102
ORD0000024,09-12-2020,CUST033080,Vihaan Mehta,P00021,Backpack,Electronics,ReadMore,3,107.95,323.85,10%,291.47,0.00,8.29,8.29,283.18,Net Banking,Delivered,Dallas,Texas,United States,SELL01507
ORD0000025,24-02-2024,CUST041929,Aditya Reddy,P00008,4K Monitor,Toys & Games,KiddoFun,1,16.68,16.68,15%,14.18,1.13,2.39,3.52,10.66,Credit Card,Delivered,Jacksonville,Florida,United States,SELL01553
ORD0000026,08-12-2023,CUST035043,Priya Kapoor,P00030,Dress Shirt,Clothing,Apex,4,380.23,1520.92,20%,1216.74,60.84,9.28,70.12,1146.62,Amazon Pay,Pending,Columbus,Ohio,Canada,SELL00342
